;subject;grade;question;answer
0;English;5; ‌What‌ ‌is‌ ‌the‌ ‌superlative‌ ‌‌of‌ ‌many?‌ ‌;‌Most.
1;English;5; ‌What‌ ‌are‌ ‌similar‌ sounding words‌ ‌called?‌ ‌;‌Homonyms.
2;English;5; ‌What‌ ‌is‌ ‌the‌ ‌meaning of the word 'thine'?‌ ‌;‌Yours.
3;English;5; ‌What‌ ‌is‌ ‌the‌ ‌past‌ ‌tense‌ ‌of‌ ‌cut?‌ ‌;‌Cut‌, it is the same.
4;English;5; ‌What‌ ‌tense‌ ‌is‌ ‌this sentence:‌ ‌'We‌ ‌will‌ ‌eat‌ ‌pizza‌ ‌tomorrow'?;‌Future‌ ‌tense.
5;English;5; ‌What‌ ‌is‌ ‌the‌ ‌common‌ ‌name‌ ‌for‌ ‌any‌ ‌name,‌ ‌place,‌ ‌animal‌, or‌ ‌thing‌ ‌called?‌ ‌;‌A‌ ‌noun.
6;English;5; ‌Can you name‌ ‌the three ‌articles‌ ‌in‌ ‌the‌ ‌English‌ ‌language?; ‌'A', 'an', and 'the'.‌ ‌
7;English;5; ‌What‌ ‌is‌ ‌a‌ ‌baby‌ ‌kangaroo‌ ‌called?‌ ‌;‌Joey.
8;English;5; ‌What‌'s‌ ‌the‌ ‌collective‌ ‌noun‌ ‌for‌ ‌a‌ ‌group‌ ‌of‌ ‌fish?‌ ‌;‌A‌ ‌shoal or a school (both are common).
9;English;5; ‌What is the meaning of the word 'thee'? ‌;‌You.
10;English;5; ‌What‌ ‌is‌ ‌the‌ ‌word‌ ‌used‌ ‌to describe a‌ ‌noun‌ ‌called?‌ ‌;‌An‌ ‌adjective‌.‌
11;English;5; ‌Who‌ ‌first wrote‌ ‌the‌ ‌book‌ ‌'The‌ ‌Little‌ ‌Mermaid'?‌ ‌;‌Hans‌ ‌Christian‌ ‌Anderson‌.
12;English;5; ‌How‌ ‌many‌ ‌articles‌ ‌are‌ ‌present ‌in‌ ‌the‌ ‌English‌ ‌language?‌ ‌;‌Three‌ ‌articles:‌ ‌a,‌ ‌an,‌ ‌the.
13;English;5;"Fill‌ ‌in‌ ‌the‌ ‌blank with‌ ‌the‌ ‌correct‌ ‌verb‌ ‌form:‌ ""'Yesterday,‌ ‌she‌ ‌was‌ ‌_______‌ ‌us‌ ‌a‌ ‌question'.‌ ‌";'‌asking‌'.
14;English;5; ‌What‌ ‌is the‌ ‌comparative‌ ‌degree‌ ‌and‌ ‌superlative‌ ‌degree‌ ‌of‌ ‌the‌ ‌word‌ ‌'beautiful'?‌ ‌;‌'More‌ ‌beautiful' and '‌most‌ ‌beautiful'.
15;English;5; ‌Who‌ ‌wrote‌ ‌the‌ ‌play‌ ‌'Romeo‌ ‌And‌ ‌Juliet'?‌ ‌;‌William‌ ‌Shakespeare.
16;English;5; ‌What‌ ‌is‌ ‌the‌ ‌plural‌ ‌noun‌ ‌of‌ ‌deer?‌ ‌;‌Deer‌, it is the same.
17;English;5; ‌What‌ ‌is‌ ‌a‌ ‌synonym?‌ ‌;‌A‌ ‌word‌ ‌that means ‌the‌ ‌same‌ ‌as‌ ‌the‌ ‌given‌ ‌word.‌ ‌
18;English;5; ‌Who is the creator of the classic book characters Tom Sawyer and Huckleberry Finn? ‌;ark Twain.
19;English;5; ‌Fill‌ ‌in‌ ‌the blank with ‌the‌ ‌missing‌ ‌article:‌ ‌'She‌ ‌will‌ ‌arrive‌ ‌in‌ ‌___‌ ‌hour'.‌ ‌;'‌an'.‌ ‌
20;English;5; ‌What‌ would you call a character in a story that revolves around him or her?‌ ‌;‌The ‌protagonist.
21;English;5; ‌What‌ ‌is‌ ‌the‌ ‌... punctuation‌ ‌called?‌ ‌;‌Ellipsis.
22;English;5; ‌Who‌ ‌wrote‌ ‌the‌ ‌book‌ ‌'The‌ ‌Little‌ ‌Prince'?‌ ‌;‌Antoine‌ ‌de‌ ‌Saint‌ ‌Exupéry‌.
23;English;5; ‌How‌ ‌many‌ ‌verbs‌ ‌are‌ ‌present‌ ‌in‌ ‌this‌ ‌sentence:‌ ‌'We‌ ‌slept‌ ‌while‌ ‌they‌ ‌danced‌ ‌and‌ ‌cooked‌ ‌us‌ ‌meals'?;‌Three‌.
24;English;5; ‌What‌ ‌are‌ sets of words‌ ‌that are opposite in meaning called?‌ ‌;‌Antonyms‌.
25;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank‌ ‌using‌ ‌the‌ ‌suitable‌ ‌conjunction:‌ ‌'He‌ ‌failed‌ ‌______‌ ‌he‌ ‌didn't‌ ‌study‌ ‌well'.;‌'because‌'.
26;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank:‌ ‌'Neil Armstrong ‌and‌ Buzz Aldrin  _____‌ ‌the‌ ‌first‌ ‌humans‌ ‌to‌ ‌visit‌ ‌the‌ ‌moon.'.;‌'were‌'.
27;English;5; ‌What‌ ‌are‌ question‌ ‌words‌ (who, what, when, where, whose) ‌called?‌ ‌;‌Interrogative‌ ‌words‌.
28;English;5; ‌What‌ ‌are‌ ‌oxymorons?‌ ‌;‌Antonyms‌ ‌used‌ ‌together‌ ‌to form a sentence or description.
29;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank:‌ ‌'Work‌ ‌hard‌ ‌___‌ ‌get‌ ‌success'. ‌;'‌to‌'.
30;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank:‌ ‌'She‌ ‌lives‌ ‌in‌ ‌___‌ ‌United States.'. ‌;‌'the'.‌
31;English;5; ‌Which‌ ‌of‌ ‌these‌ ‌words‌ ‌means‌ ‌sparkle: 'dazzle‌', 'dangle', or 'jazz‌le'?;‌Dazzle‌.
32;English;5; ‌What word can be‌ ‌the‌ ‌shortest‌ ‌sentence‌ ‌in‌ ‌the English‌ ‌language?‌ ‌;‌Go.
33;English;5; ‌What‌ ‌is‌ ‌the‌ ‌dot‌ ‌over‌ the lowercase letter I in ‌the‌ ‌English‌ ‌alphabet ‌called?‌ ‌;‌Tittle‌.
34;English;5; ‌What‌ ‌is‌ ‌the‌ ‌collective‌ ‌noun‌ ‌for‌ ‌a‌ ‌group‌ ‌of‌ ‌puppies?‌ ‌;itter.
35;History and Geography;5; ‌Who‌ ‌is credited with inventing ‌the‌ light bulb?‌ ‌ ‌;‌Thomas‌ ‌Alva‌ ‌Edison‌. ‌
36;History and Geography;5;How‌ ‌many‌ ‌stars‌ ‌are‌ ‌present‌ ‌on‌ ‌the‌ ‌official‌ ‌flag‌ ‌of‌ ‌the‌ United States of America?‌ ‌;‌50‌ ‌
37;History and Geography;5; ‌Who‌ ‌was‌ ‌the‌ first president of the United States?;‌George‌ ‌Washington‌.
38;History and Geography;5; ‌Name‌ ‌the‌ ‌famous‌ ‌activist‌ ‌from ‌North America ‌who‌ ‌‌protested‌ ‌against‌ ‌racism‌ ‌by‌ sitting‌ ‌on ‌a‌ ‌‌bus.‌ ‌;‌Rosa‌ ‌Parks‌.‌
39;History and Geography;5; ‌Who‌ ‌made‌ ‌the‌ famous ‌'I‌ ‌Have A‌ ‌Dream'‌ ‌speech?‌ ‌;‌Martin‌ ‌Luther‌ ‌King‌ ‌Jr.‌
40;History and Geography;5; ‌In‌ ‌which‌ ‌country‌ ‌of‌ ‌South America ‌is one of‌ ‌the‌ Seven‌ Wonders‌ ‌of‌ ‌the‌ ‌World,‌ ‌Machu‌ ‌Picchu‌, located?‌ ‌;‌Peru.
41;History and Geography;5; ‌In‌ ‌which‌ ‌city‌ ‌of‌ North America ‌is the‌ ‌Statue‌ ‌of‌ ‌Liberty‌ ‌located?‌ ‌;‌New‌ ‌York‌ City.
42;History and Geography;5; ‌What‌ ‌does‌ ‌the‌ ‌DC‌ ‌in‌ ‌Washington‌ ‌DC‌ ‌stand‌ ‌for?‌ ‌;‌District‌ ‌of‌ ‌Columbia‌.
43;History and Geography;5; ‌Which‌ ‌is‌ ‌the‌ ‌most‌ ‌populated‌ ‌state‌ ‌in‌ ‌North‌ ‌America?‌ ‌;‌California‌.
44;History and Geography;5; ‌Which‌ ‌language‌ ‌is‌ ‌the‌ ‌most‌ ‌widely‌ ‌spoken‌ ‌language‌ ‌in‌ ‌South‌ ‌America?‌ ‌;‌Spanish‌.
45;History and Geography;5; ‌What‌ ‌is‌ ‌the‌ ‌name‌ ‌of‌ ‌the‌ ‌national‌ ‌flag‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌The‌ ‌Stars‌ ‌and‌ ‌‌Stripes‌ or The Star-Spangled Banner.
46;History and Geography;5; ‌In‌ ‌which‌ ‌North‌ ‌American‌ ‌state‌ ‌is‌ ‌the‌ ‌Liberty‌ ‌Bell‌ ‌located?‌ ‌;‌Pennsylvania‌.
47;History and Geography;5; ‌Can you name‌ ‌the‌ ‌longest‌ ‌river‌ ‌flowing‌ ‌in‌ ‌the United States?‌ ‌;‌The‌ ‌‌Missouri‌ ‌River.
48;History and Geography;5; ‌Who,‌ ‌along‌ ‌with‌ ‌Neil‌ ‌Armstrong,‌ ‌first‌ ‌landed‌ ‌on‌ ‌the‌ ‌moon?‌ ‌;‌Edwin 'Buzz‌' ‌Aldrin‌.
49;History and Geography;5; ‌Name‌ ‌the‌ ‌first‌ ‌satellite‌ ‌pulled‌ ‌into‌ ‌orbit‌ ‌by‌ ‌the‌ ‌United‌ ‌States.‌ ‌;‌Explorer‌ 1.
50;History and Geography;5; ‌Who‌ ‌was‌ ‌the‌ ‌16th‌ ‌president‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌Abraham‌ ‌Lincoln.
51;History and Geography;5; ‌Which‌ city ‌is‌ ‌the‌ ‌oldest‌ ‌city‌ ‌in‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌St.‌ ‌Augustine,‌ ‌Florida.
52;History and Geography;5; ‌Which‌ ‌is‌ ‌the‌ ‌largest‌ ‌state‌ ‌in‌ ‌the‌ ‌United‌ ‌States‌ ‌in‌ ‌terms‌ ‌of‌ ‌land?‌ ‌;‌Alaska.
53;History and Geography;5; ‌Can you name‌ ‌the‌ ‌only‌ ‌state‌ ‌in‌ ‌America‌ ‌that‌ ‌grows‌ ‌coffee?;‌Hawaii‌.
54;History and Geography;5; Can you name‌ ‌the‌ ‌state‌ ‌where‌ ‌the‌ ‌Gateway Arch‌ ‌is‌ ‌located?‌ ‌;‌Missouri.
55;History and Geography;5; ‌Which‌ ‌city‌ ‌is‌ ‌called‌ ‌the‌ ‌Motor‌ ‌City‌ ‌of‌ ‌North‌ ‌America?‌ ‌;‌Detroit.
56;History and Geography;5; ‌What‌ ‌is‌ ‌the‌ ‌national‌ ‌bird‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌The‌ ‌American‌ ‌bald‌ ‌eagle‌‌.
57;History and Geography;5; ‌Who‌ ‌was‌ ‌the‌ ‌first‌ ‌Black ‌president‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌Barack‌ ‌Obama.
58;History and Geography;5; ‌How‌ ‌many‌ ‌Super‌ ‌Bowls‌ ‌has‌ ‌the‌ ‌acclaimed‌ ‌player‌ ‌Tom‌ ‌Brady‌ ‌won?‌ ‌;‌Seven.
59;History and Geography;5; ‌Can you name‌ ‌the‌ ‌largest‌ ‌lake‌ ‌in‌ ‌South‌ ‌America?;‌Lake‌ ‌Titicaca‌.
60;History and Geography;5; ‌Which‌ ‌state‌ ‌in‌ ‌the‌ ‌United States‌ ‌is‌ ‌also‌ ‌called‌ ‌the‌ ‌Cheese‌ ‌State?‌ ‌;‌Wisconsin‌.
61;History and Geography;5; Can you name‌ ‌the‌ ‌state‌ ‌where‌ ‌Mount‌ ‌Rushmore‌ ‌is‌ ‌located?;‌South‌ ‌Dakota‌.
62;History and Geography;5; ‌How‌ ‌many‌ ‌stripes‌ ‌are‌ ‌present‌ ‌in‌ ‌the‌ ‌national‌ ‌flag‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌13‌ ‌(7 red stripes and 6 white stripes).
63;History and Geography;5; ‌Which‌ ‌country‌ ‌gifted‌ ‌the‌ ‌Statue‌ ‌of‌ ‌Liberty‌ ‌to‌ ‌the United States?‌ ‌;‌France‌‌.
64;History and Geography;5; ‌In‌ ‌which‌ ‌war‌ ‌was‌ ‌the‌ ‌Battle‌ ‌of‌ ‌Gettysburg‌ ‌fought?‌ ‌;‌The‌ ‌American Civil‌ ‌War. ‌
65;History and Geography;5; Can you name‌ ‌the‌ ‌smallest‌ ‌state‌ ‌in‌ ‌the‌ ‌United States by land area? ‌;‌Rhodes‌ ‌Island‌.
66;History and Geography;5;‌In which year ‌was ‌America ‌'discovered' ‌by ‌Christopher ‌Columbus? ‌;1492 ‌
67;History and Geography;5;‌How ‌many ‌countries ‌are ‌there in ‌South ‌America? ‌;12 countries and two dependecies.
68;History and Geography;5;‌Who ‌is celebrated as the ‌first ‌African ‌American ‌Major League baseball ‌player? ‌;Jackie ‌Robinson‌.
69;History and Geography;5;‌Which ‌state ‌in ‌‌America ‌produces approximately ‌50% ‌of ‌America's ‌rice? ‌;‌Arkansas‌.
70;Mathematics;5;‌If ‌you ‌have ‌ten ‌mangos ‌and ‌your ‌friend's ‌mother ‌buys ‌you ‌twelve ‌more, ‌how ‌many ‌mangos ‌will ‌you ‌have ‌in ‌total? ‌;22.
71;Mathematics;5;‌Which ‌geometrical ‌shape ‌has ‌no ‌vertices? ‌;A ‌sphere.
72;Mathematics;5;‌How ‌many ‌wheels ‌will 99 ‌bicycles ‌and one ‌tricycle ‌have ‌in total? ‌;201 ‌
73;Mathematics;5;‌What ‌is ‌(10 ‌+ ‌10‌) ‌/ ‌20 ‌?;1
74;Mathematics;5;‌How many ‌days ‌are ‌there ‌in ‌a ‌leap ‌year? ‌;366 ‌days‌.
75;Mathematics;5;‌If I had 9 dozen eggs, how many eggs would I have? ‌;108
76;Mathematics;5;‌What ‌is ‌a ‌quarter? ‌;One ‌out ‌of ‌four ‌equal ‌parts‌.
77;Mathematics;5;‌How ‌many ‌minutes ‌are in seven half ‌‌hours? ‌;210 ‌minutes‌.
78;Mathematics;5;‌What ‌is ‌the ‌Roman Numeral ‌symbol ‌for ‌100? ‌;C‌.
79;Mathematics;5;‌What ‌is (‌510 ‌+ ‌68) / 2 ‌? ‌;289 ‌
80;Mathematics;5;‌If ‌you ‌are ‌seven years ‌old ‌and‌ ‌your ‌brother ‌is ‌‌three years ‌older ‌than ‌you, ‌what ‌is ‌his ‌age? ‌;10 ‌years ‌old‌.
81;Mathematics;5;‌If ‌a ‌train ‌is ‌supposed ‌to ‌reach ‌the ‌station ‌at ‌4:10 ‌a.m‌.  but ‌it ‌is ‌35 ‌minutes late, ‌at ‌what ‌time ‌will ‌the ‌train ‌reach ‌the ‌station? ‌;4:45 ‌a.m. ‌
82;Mathematics;5;‌What ‌are ‌the ‌full ‌forms ‌of ‌a.m. ‌and ‌p.m., ‌as ‌used ‌in ‌representing ‌time? ‌;Ante ‌meridiem and post ‌meridiem
83;Mathematics;5;‌How ‌many ‌days ‌are ‌there ‌in ‌July? ‌;31 ‌days.
84;Mathematics;5;‌What ‌number does ‌the Roman ‌Numeral ‌representation ‌XXXVIII ‌represent? ‌;38 ‌
85;Mathematics;5;‌Which ‌is ‌larger: ‌10000 grams ‌or ‌one kilogram? ‌;10000 grams.
86;Mathematics;5;‌How many sides ‌does ‌a ‌trapezium ‌have? ‌;Four ‌sides.
87;Mathematics;5;‌How ‌much ‌does ‌one ‌gallon ‌of ‌water ‌weigh ‌in ‌pounds? ‌;8.33 lb.
88;Mathematics;5;‌What ‌is ‌the ‌number ‌on ‌the ‌top ‌of ‌the ‌vinculum ‌in ‌a ‌fraction ‌called? ‌;The ‌numerator.
89;Mathematics;5;‌How ‌many ‌days ‌are ‌in ‌two ‌leap ‌years? ‌;732
90;Mathematics;5;‌What ‌is ‌88 ‌x ‌10 ‌x ‌0‌ ‌? ‌;0‌
91;Mathematics;5;‌What does VBODMAS stand for? ‌;Vinculum ‌Bracket ‌Of ‌Division ‌Multiplication ‌Addition ‌Subtraction‌.
92;Mathematics;5;‌What ‌is ‌the ‌value ‌of ‌Pi ‌(up to ‌three ‌decimals)? ‌;3.142
93;Mathematics;5;‌What ‌is ‌the ‌smallest ‌prime ‌number? ‌;2 ‌(Interestingly, 1 is not classified as a prime number although it is divisible by 1 and itself (as per the definition of a prime number). 1 and itself, in this case, are not two distinct factors so 1 is not classified as a prime number.)
94;Mathematics;5;‌What ‌is ‌the ‌smallest ‌perfect ‌number?‌;6 ‌
95;Mathematics;5;‌How ‌many ‌zeros ‌are ‌present ‌in ‌one ‌googol? ‌;100‌
96;Mathematics;5;‌Which ‌number ‌has ‌no ‌representation ‌in ‌Roman ‌Numerals? ‌;Zero‌.
97;Mathematics;5;‌What ‌is ‌(445 ‌- ‌80) ‌/ ‌1 ‌? ‌;365 ‌
98;Mathematics;5;‌Which ‌of ‌the ‌following ‌is ‌a ‌perfect ‌square number: ‌169, ‌23 or ‌78 ?;‌169 ‌
99;Mathematics;5;‌Who ‌is ‌the ‌mathematician ‌who ‌is considered the father of trigonometry? ‌;Hipparchus of Nicaea.
100;Mathematics;5;‌What ‌is ‌the ‌only ‌temperature ‌which ‌is ‌the ‌same ‌in ‌Fahrenheit ‌as ‌well ‌as ‌Celcius? ‌;- 40 ‌degrees.
101;Mathematics;5;‌How ‌many ‌sides ‌does a ‌heptagon ‌have? ‌;Seven.
102;Mathematics;5;‌111 ‌x 11 ‌= ‌? ‌;1221 ‌
103;Mathematics;5;‌What ‌is ‌a ‌triangle ‌with ‌equal ‌sides ‌called? ‌;Equilateral ‌triangle.
104;Mathematics;5;‌What ‌is ‌the ‌square ‌of ‌25? ‌;625
105;Science;5; ‌Which‌ ‌planet‌ ‌is‌ ‌the‌ ‌hottest‌ ‌planet?‌ ‌;‌Venus.
106;Science;5;‌What ‌is ‌H2O ‌commonly ‌called? ‌;Water.
107;Science;5;‌What ‌are ‌the ‌three ‌states ‌of ‌matter?‌;Solid, ‌liquid, and gas.
108;Science;5;‌The ‌sun ‌is ‌a ‌star. ‌True ‌or false?;True‌.
109;Science;5;‌What ‌animal ‌was ‌the ‌first ‌to ‌go ‌to ‌space? ‌;Dog‌.
110;Science;5;‌How ‌many ‌tentacles ‌does ‌an ‌octopus ‌have? ‌;Eight.
111;Science;5;‌What ‌does ‌the ‌heart ‌do? ‌;Pumps ‌blood around our body.
112;Science;5;‌What ‌is ‌the ‌rarest ‌blood ‌type? ‌;AB negative.
113;Science;5;‌What ‌is ‌the ‌hardest ‌known material ‌on earth? ‌;Diamond‌.
114;Science;5;‌Who ‌invented ‌the ‌World Wide Web? ‌;Tim Berners-Lee.
115;Science;5;‌How ‌many ‌hearts ‌does ‌an ‌octopus ‌have? ‌;hree.
116;Science;5;‌Sound ‌travels ‌faster ‌than ‌light. ‌True ‌or ‌false? ‌;alse‌.
117;Science;5;What ‌do ‌bees ‌collect ‌from ‌flowers ‌to ‌make ‌honey? ‌;Nectar. ‌
118;Science;5;How ‌many ‌teeth ‌does ‌an average ‌adult ‌have? ‌;32‌
119;Science;5;‌In ‌which ‌galaxy ‌is ‌the ‌earth ‌located? ‌;The ‌Milky ‌Way ‌Galaxy.
120;Science;5;‌What ‌force ‌of ‌earth ‌helps ‌us ‌stay ‌on ‌the ‌ground ‌without ‌floating? ‌;‌Gravitational ‌force (gravity).
121;Science;5;‌What is ‌the ‌full ‌name ‌of ‌NASA?‌;‌National ‌Aeronautics ‌and ‌Space ‌Administration‌.
122;Science;5;‌What ‌are ‌the ‌animals ‌that eat ‌both ‌plants ‌and ‌meat ‌called?‌;Omnivores.
123;Science;5;‌What ‌are the ‌two process‌es involved in ‌cloud ‌formation ‌called? ‌;‌Condensation and deposition.
124;Science;5;‌Who ‌discovered ‌penicillin?‌;Alexander ‌Fleming.
125;Science;5;‌What ‌is ‌another ‌name ‌for our ‌food ‌pipe?‌;Oesophagus‌.
126;Science;5;‌Male ‌seahorses ‌give ‌birth ‌to ‌their ‌babies. ‌True ‌or false?‌;True‌.
127;Science;5;‌Which ‌animal ‌was ‌the first ‌to ‌be ‌ever ‌cloned? ‌;Sheep‌.
128;Science;5;‌Who ‌is credited with inventing ‌television? ‌;John ‌Logie ‌Baird. ‌
129;Science;5;‌What ‌instrument ‌is ‌used ‌to ‌measure ‌the ‌intensity ‌of ‌‌earthquakes? ‌;Seismograph‌.
130;Science;5;‌What ‌is ‌a ‌person ‌who ‌studies ‌dinosaurs ‌called? ‌;Paleontologist‌.
131;Science;5;‌What ‌is the name of species ‌that can ‌survive ‌both ‌on ‌land ‌as ‌well ‌as ‌in ‌water?‌;Amphibians‌.
132;Science;5;‌What ‌are ‌‌animals ‌that ‌do ‌not ‌lay ‌eggs ‌(and instead give birth to their young) called? ‌;Viviparous.
133;Science;5;‌How ‌many ‌elements ‌are ‌in ‌the ‌periodic ‌table? ‌;118‌
134;Science;5;‌What are the ‌tissues ‌connecting ‌bones ‌to ‌the ‌muscles ‌are ‌called?;Tendons‌.
135;Science;5;‌What ‌is ‌the ‌boiling ‌point ‌of ‌water ‌in ‌degrees Celsius? ‌;100 ‌degrees ‌Celsius‌.
136;Science;5;‌Which ‌planet ‌is ‌called ‌the ‌red ‌planet? ‌;Mars.
137;Science;5;‌Which ‌scientist ‌proposed ‌the ‌three ‌laws ‌of ‌motion? ‌;Isaac ‌Newton‌. ‌
138;Science;5;‌What ‌is ‌the ‌scientific ‌formula ‌of ‌Hydrogen ‌Peroxide?‌;H2O2
139;Science;5;‌How ‌many ‌bones ‌are ‌there ‌in ‌the ‌human ‌skeleton? ‌;206
